"NAME","LATITUDE","LONGITUDE","LOCATION","Type","Address"
"Borden",53.56,-113.45,"(53.5632719351119, -113.45467195093)","Outdoor",
"Fred Broadstock",53.55,-113.59,"(53.5490294182375, -113.593339758715)","Outdoor",
"Mill Creek",53.52,-113.47,"(53.5194797817797, -113.473822469793)","Outdoor",
"Oliver",53.54,-113.53,"(53.544877764822, -113.526417427066)","Outdoor",
"Queen Elizabeth",53.52,-113.51,"(53.523956, -113.511642)","Outdoor",
"A.C.T. Aquatics and Recreation Centre",53.56,-113.39,"(53.556209050028, -113.387022783642)","Indoor",
"Eastglen Leisure Centre",53.57,-113.45,"(53.5669867070818, -113.445270239)","Indoor",
"Commonwealth Stadium",53.56,-113.48,"(53.5590361343565, -113.4777040636)","Indoor",
"Londonderry Fitness and Leisure Centre",53.61,-113.44,"(53.6073580287185, -113.444563016319)","Indoor",
"O'Leary Fitness and Leisure Centre",53.59,-113.48,"(53.5932168698336, -113.476930441118)","Indoor",
"Bonnie Doon Leisure Centre",53.52,-113.45,"(53.5238762323606, -113.454484427235)","Indoor","8648 81st Street"
"Hardisty Fitness and Leisure Centre",53.55,-113.43,"(53.5491611786043, -113.430793208959)","Indoor","10535 65th Street"
"Mill Woods Recreation Centre",53.46,-113.44,"(53.4571471529795, -113.444507794751)","Indoor","7207 28th Avenue"
"Confederation Leisure Centre",53.48,-113.52,"(53.4801101469416, -113.520130151617)","Indoor","11204 43rd Avenue"
"Kinsmen Sports Centre",53.53,-113.51,"(53.5267214547643, -113.508145472711)","Indoor","9100 Walterdale Hill"
"Terwilleger Community Recreation Centre",53.46,-113.58,"(53.4593718896281, -113.583063251597)","Indoor","2051 Leger Road"
"Grand Trunk Fitness and Leisure Centre",53.59,-113.51,"(53.5897571699653, -113.51252459079)","Indoor","13025 112th Street"
"Jasper Place Fitness and Leisure Centre",53.53,-113.6,"(53.5267835762244, -113.603857089979)","Indoor","9200 163rd Street"
"Peter Hemingway Fitness and Leisure Centre",53.56,-113.56,"(53.5600032038405, -113.560794370726)","Indoor","13808 111th Avenue"
"Scona Pool",53.51,-113.5,"(53.5143061, -113.4996529)","Indoor","10450 78th Avenue"
